company,abi,address_line_1,city,state,zipcode,latitude,longitude,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,year_established
bjs,389236316,7007 SW 117TH AVE,MIAMI,FL,33183,25.70107,-80.38174,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,
bjs,390897312,5820 E VIRGINIA BEACH BLVD,NORFOLK,VA,23502,36.85705,-76.2061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
bjs,394342414,3635 HEMPSTEAD TPKE,LEVITTOWN,NY,11756,40.7257666666667,-73.5005166666667,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,
bjs,395776693,800 YOUNG ST,TONAWANDA,NY,14150,43.00251,-78.858935,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,
bjs,400592329,2577 S HIGHWAY 27,CLERMONT,FL,34711,28.533035,-81.734105,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
bjs,400731823,10425 MARLIN RD,CUTLER BAY,FL,33157,25.5914133333333,-80.3602933333333,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
bjs,400764181,616 N WEST END BLVD,QUAKERTOWN,PA,18951,40.46025,-75.37068,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
bjs,400813878,200 MILL RD # C,OAKS,PA,19456,40.12376,-75.45718,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,
bjs,400813878,200-C MILL RD # C,OAKS,PA,19456,40.12376,-75.45718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
bjs,400813878,200-C MILL RD #C,OAKS,PA,19456,40.12376,-75.45718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,401684391,514 WHITE WATER RD,CHULA,GA,31733,31.60061,-83.43214,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
bjs,401786718,70 CLUFF RD,SALEM,NH,03079,42.7658,-71.21352,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
bjs,402220389,200 CROWN COLONY DR,QUINCY,MA,02169,42.23246,-71.0121,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
bjs,402570373,66 SEYON ST,WALTHAM,MA,02453,42.37041,-71.238015,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
bjs,403167788,6607 WILSON BLVD,FALLS CHUR,VA,22044,38.87468,-77.15052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,403167788,6607 WILSON BLVD,FALLS CHURCH,VA,22044,38.87419,-77.15081,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,
bjs,403337232,1100 W OSCEOLA PKWY,KISSIMMEE,FL,34741,28.3405,-81.41383,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
bjs,403375806,344 REIDVILLE DR,WATERBURY,CT,06705,41.5367766666667,-73.0014833333333,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
bjs,403390353,1155 PALM BAY RD,MELBOURNE,FL,32905,28.03613,-80.64088,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
bjs,403390353,1155 PALM BAY RD,PALM BAY,FL,32905,28.035725,-80.640465,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
bjs,403390353,1155 PALM BAY RD NE,MELBOURNE,FL,32905,28.03679,-80.64132,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
bjs,403494185,1 HIGHLAND CMN W,HUDSON,MA,01749,42.39644,-71.59933,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
bjs,403505141,75 SPRING ST,SOUTHINGTO,CT,06489,41.63495,-72.87843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,403505141,75 SPRING ST,SOUTHINGTON,CT,06489,41.63495,-72.87843,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,
bjs,403634953,25 RESEARCH DR,WESTBOROUGH,MA,01582,42.28747,-71.58325,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
bjs,403710242,8719 AVENUE D,BROOKLYN,NY,11236,40.6450875,-73.91387,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,
bjs,403710242,900 REMSEN AVE,BROOKLYN,NY,11236,40.64301,-73.90334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,404078660,2131 KIRKWOOD HWY,WILMINGTON,DE,19805,39.73896,-75.6106866666667,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
bjs,405100655,5901 W HILLSBORO BLVD,PARKLAND,FL,33067,26.318995,-80.20516,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
